"Item SKU","Item Name","Item Description (short)","Item UOM","Physical Quantity (Good)","Physical Quantity (Damaged)","Quantity on-hold"
278315,"John Frieda Frizz Ease Flawless Straight Shampoo 250ml","Smoothes, softens and aligns frizzy",PIECES,1193,0,0
278178,"John Frieda Frizz Ease Forever Smooth Shampoo 250ml","Experience a new generation of",PIECES,1587,0,0
278181,"John Frieda Frizz Ease Miraculous Recovery Shampoo 250ml","Repair the look and feel",PIECES,1252,0,0
278316,"John Frieda Frizz Ease Flawless Straight Conditioner 250ml","Smoothes, softens and aligns frizzy",PIECES,1325,0,0
278179,"John Frieda Frizz Ease Forever Smooth Conditioner 250ml","Experience a new generation of",PIECES,1513,0,0
278183,"John Frieda Frizz Ease Miraculous Recovery Conditioner 250ml","Repair the look and feel",PIECES,1508,0,0
278318,"John Frieda Frizz Ease  Nourishing Oil Elixir 100ml","Nourishes hair for exceptional salon-softness",PIECES,1779,0,0
278317,"John Frieda Frizz Ease Original 6 Effects Serum 50ml","Frizz eliminator repels humidity and",PIECES,1377,0,0
297631,"John Frieda Frizz Ease Miraculous Recovery Crème Serum 50ml","Intense repair formula visibly transforms",PIECES,2488,0,0
278319,"John Frieda Frizz Ease Miraculous Recovery Deep Conditioner 150ml","Saturates, quenches and replenishes to",PIECES,791,0,0
286175,"John Frieda Frizz Ease 10 Day Tamer (Pre-wash Treatment) 150ml","Fight frizzy hair with this",PIECES,1744,0,0
297628,"John Frieda Luxurious Volume Core Restore Protein-Infused Shampoo 250ml","Fine hair lacks the protein",PIECES,384,0,0
297629,"John Frieda Luxurious Volume Core Restore Protein-Infused Clear Conditioner 250ml","Fine hair lacks the protein",PIECES,652,0,0
297630,"John Frieda Luxurious Volume Core Restore Protein-Infused Volumiser 60ml","Transforms hair to maximize strength",PIECES,676,0,0
276969,"John Frieda Luxurious Volume 7 Day Volume Treatment 100ml","Transform fine, limp hair and",PIECES,294,0,0
278323,"John Frieda Luxurious Volume Perfectly Full Mousse 200ml","3x more volume with natural-feeling",PIECES,663,0,0
278324,"John Frieda Luxurious Volume Forever Full Hairspray 250ml","Give fine hair lush body",PIECES,678,0,0
287548,"John Frieda Full Repair Strengthen + Repair Shampoo 250ml","Reverse the look and feel",PIECES,528,0,0
287549,"John Frieda Full Repair Strengthen + Repair Conditioner 250ml","Reverse the look and feel",PIECES,968,0,0
287550,"John Frieda Full Repair Hydrate + Rescue Deep Conditioner 150ml","Reverse the look and feel",PIECES,793,0,0
294634,"John Frieda Brilliant Brunette Colour Protecting Moisturising Shampoo 250ml","Don't fade away.Protecting Moisturising",PIECES,1076,0,0
294636,"John Frieda Brilliant Brunette Visibly Brighter subtle Lightening Shampoo 250ml","Give your brunette hair a",PIECES,1566,0,0
294635,"John Frieda Brilliant Brunette Colour Protecting Moisturising Conditioner 250ml","Say goodbye to faded, dry",PIECES,1321,0,0
294637,"John Frieda Brilliant Brunette Visibly Brighter Subtle Lightening Conditioner 250ml","Hydrate your hair with a",PIECES,1446,0,0
294640,"John Frieda Brilliant Brunette Visibly Brighter In-shower Lightening Treatment 34ml","It’s time to give Brunettes",PIECES,4366,0,0
405246,"Merries Walker Pants Jumbo L27s (9 - 14 kg)","Merries Walker Pants is designed",PIECES,2843,0,0
405241,"Merries Tape Diapers S54s (4 - 8 kg)","New and improved Merries Tape",PIECES,1778,0,0
278148,"Merries Walker Pants Super Jumbo XXL26s (15 - 28 kg)","Merries Walker Pants is designed",PIECES,924,0,0
405240,"Merries Tape Diapers NB60s (<5 kg)","New and improved Merries Tape",PIECES,2486,0,0
405242,"Merries Tape Diapers M64s (6 - 11 kg)","New and improved Merries Tape",PIECES,8677,0,0
405244,"Merries Tape Diapers XL44s (12 - 20 kg)","New and improved Merries Tape",PIECES,10002,0,0
405243,"Merries Tape Diapers L54s (9 - 14 kg)","New and improved Merries Tape",PIECES,7420,0,0
278150,"Merries Walker Pants Super Jumbo XL38s (12 - 22 kg)","Merries Walker Pants is designed",PIECES,10698,0,0
278149,"Merries Walker Pants Super Jumbo L44s (9 - 14 kg)","Merries Walker Pants is designed",PIECES,5553,0,0
405245,"Merries Walker Pants Jumbo M33s (6 - 11 kg)","Merries Walker Pants is designed",PIECES,3749,0,0
K700967,"John Frieda Luxurious Volume 7 Day Volume Treatment 100ml (Marketing Premium)","Transform fine, limp hair and",PIECES,1507,0,0
JF-278315,"John Frieda Frizz Ease Flawless Straight Shampoo 250ml","Smoothes, softens and aligns frizzy",PIECES,1193,0,0
JF-278178,"John Frieda Frizz Ease Forever Smooth Shampoo 250ml","Experience a new generation of",PIECES,1587,0,0
JF-278181,"John Frieda Frizz Ease Miraculous Recovery Shampoo 250ml","Repair the look and feel",PIECES,1252,0,0
JF-278316,"John Frieda Frizz Ease Flawless Straight Conditioner 250ml","Smoothes, softens and aligns frizzy",PIECES,1325,0,0
JF-278179,"John Frieda Frizz Ease Forever Smooth Conditioner 250ml","Experience a new generation of",PIECES,1513,0,0
JF-278183,"John Frieda Frizz Ease Miraculous Recovery Conditioner 250ml","Repair the look and feel",PIECES,1508,0,0
JF-278315+278316,"John Frieda Frizz Ease Flawless Straight Shampoo & Conditioner Set ","Smoothes, softens and aligns frizzy",PIECES,1193,0,0
JF-278178+278179,"John Frieda Frizz Ease Forever Smooth Shampoo & Conditioner Set","Experience a new generation of",PIECES,1513,0,0
JF-278181+278183,"John Frieda Frizz Ease Miraculous Recovery Shampoo & Conditioner Set","Repair the look and feel",PIECES,1252,0,0
JF-278318,"John Frieda Frizz Ease  Nourishing Oil Elixir 100ml","Nourishes hair for exceptional salon-softness",PIECES,1779,0,0
JF-278317,"John Frieda Frizz Ease Original 6 Effects Serum 50ml","Frizz eliminator repels humidity and",PIECES,1377,0,0
