Category ID,Name,Attribute Name,Options
6389,Midi Dress,Brand,No Brand;Abercombie & Fitch;And Well Dressed;anticlockwise;bega;Bershka;Brandy Melville;bYSI;carrislabelle;Collate The Label;Cotton On;Daintyroses;Dorothy Perkins;Dressabelle;Ellysage;ESPRIT;factorie;Fairebelle;Fash Mob;Fayth;Forever 21;Forever New;French Connection;G.A.P;H&M;Her Velvet Vase;HOLLISTER;Hollyhoque;Intoxiquette;Iora;Karen Millen;Kikikeli;Lazygirl.co;LBR Label;Leline Style;Lexi Lyla;Lily Pirates;Love & Bravery;Love Bonito;Lovengold;Lovet;Lowrys farm;Mango;Marc Jacobs;Mayuki;MDSCOLLECTIONS;Megagamie;MFW;Ministry of Clothing;Miss Selfridge;Mod Parade;MONTIFS;MOONRIVER;Mugigae;Neonmello;New Look;NINE2FIVE;Ninth Collective;Ohvola;osmose;Pomelo Fashion;Pull&Bear;REFASH;River Island;Runway Bandits;Sabo Skirt;Salient Label;Saturday Club;Seoul in Love;Shop Sassy Dream;Something Borrowed;Sophialuv;StatementMuse;Stylenanda;Sunday Peach;Supergurl;Tempt;The Closet Lover;The Dancing Jewels;The Editor's Market;The Scarlet Room;The Stage Walk;The Sunday Avenue;The Tinsel Rack;The Velvet Dolls;The Willow Label;theory of seven;Thread Theory;Toki Choi;Tommy Hilfiger;Topazette;TOPSHOP;TresLoveChic;Uniqlo;Urban Outfitters;WAREHOUSE;Wild Peonies;Wonderstellar;younghungryfree;Zara;Nassa;OB Design;Tracyinny;MGP Label;Divided;All Would Envy;YOINS;TUNEVUSE;Double R;Polo;Batik Luhur;paknamae;rocosix;ppgirl;Mika & Gala;canmart;L'zzie;The Beverlyn Label;American Apparel;Meow Meow;Missguided;John Paul Ataker;Aidan Mattox;BCBG;George;OOTD.SG;Angel Maternity;adidas;so that's me;The Dress Room;AIR SPACE;Twenty3;Pure Hype;La Chapelle;Marks & Spencer;Miss38;Eternity Loft;SNAPSTYLE;Primark;Charmed on 9th Ave;Zavendar;NaNa De Luxe;Padini;Lolly Rouge;SuncolorA;Him & Jae;Kenzo;Chaliz Andrea;Chi Chi London;Berthe Zenia;UgoChic;Blumarine;Dafuni;Kaylie;Alescere;MPG Label;MDS;Penshoppe;Vain Vibes;G2000;Grana;Voir;LEIA RAY X;FOAT;moimoii;Taiwan Collection;American Eagles Outfitters;Finders Keepers;TFNC;Anthea Crawford;Einashop;Maje;baon;BORN CHAMPS;DEAR STALKER;Carlyna;Fila;Versace;bibyseob;The Design Closets;Gucci;The Ning Label;The J Label;Lace & Ebony;Vero Moda;Purpur;13MONTH;OEM;
6389,Midi Dress,Material,Nylon;Polyester;Cotton;Spandex;Silk;Rayon;Linen;Lycra;Denim;Leather;Chiffon;
6389,Midi Dress,Style,A-line Dress;Beach Dress;Jumper Dress;Pencil Dress;Shift Dress;Shirt Dress;Skater Dress;Smock Dress;Swing Dress;T-shirt Dress;Wrap Dress;
6391,Maxi Dress,Brand,No Brand;Abercombie & Fitch;And Well Dressed;anticlockwise;bega;Bershka;Brandy Melville;bYSI;carrislabelle;Collate The Label;Cotton On;Daintyroses;Dorothy Perkins;Dressabelle;Ellysage;ESPRIT;factorie;Fairebelle;Fash Mob;Fayth;Forever 21;Forever New;French Connection;G.A.P;H&M;Her Velvet Vase;HOLLISTER;Hollyhoque;Intoxiquette;Iora;Karen Millen;Kikikeli;Lazygirl.co;LBR Label;Leline Style;Lexi Lyla;Lily Pirates;Love & Bravery;Love Bonito;Lovengold;Lovet;Lowrys farm;Mango;Marc Jacobs;Mayuki;MDSCOLLECTIONS;Megagamie;MFW;Ministry of Clothing;Miss Selfridge;Mod Parade;MONTIFS;MOONRIVER;Mugigae;Neonmello;New Look;NINE2FIVE;Ninth Collective;Ohvola;osmose;Pomelo Fashion;Pull&Bear;REFASH;River Island;Runway Bandits;Sabo Skirt;Salient Label;Saturday Club;Seoul in Love;Shop Sassy Dream;Something Borrowed;Sophialuv;StatementMuse;Stylenanda;Sunday Peach;Supergurl;Tempt;The Closet Lover;The Dancing Jewels;The Editor's Market;The Scarlet Room;The Stage Walk;The Sunday Avenue;The Tinsel Rack;The Velvet Dolls;The Willow Label;theory of seven;Thread Theory;Toki Choi;Tommy Hilfiger;Topazette;TOPSHOP;TresLoveChic;Uniqlo;Urban Outfitters;WAREHOUSE;Wild Peonies;Wonderstellar;younghungryfree;Zara;Nassa;OB Design;Tracyinny;MGP Label;Divided;All Would Envy;YOINS;TUNEVUSE;Double R;Polo;Batik Luhur;paknamae;rocosix;ppgirl;Mika & Gala;canmart;L'zzie;The Beverlyn Label;American Apparel;Meow Meow;Missguided;John Paul Ataker;Aidan Mattox;BCBG;George;OOTD.SG;Angel Maternity;adidas;so that's me;The Dress Room;AIR SPACE;Twenty3;Pure Hype;La Chapelle;Marks & Spencer;Miss38;Eternity Loft;SNAPSTYLE;Primark;Charmed on 9th Ave;Zavendar;NaNa De Luxe;Padini;Lolly Rouge;SuncolorA;Him & Jae;Kenzo;Chaliz Andrea;Chi Chi London;Berthe Zenia;UgoChic;Blumarine;Dafuni;Kaylie;Alescere;MPG Label;MDS;Penshoppe;Vain Vibes;G2000;Grana;Voir;LEIA RAY X;FOAT;moimoii;Taiwan Collection;American Eagles Outfitters;Finders Keepers;TFNC;Anthea Crawford;Einashop;Maje;baon;BORN CHAMPS;DEAR STALKER;Carlyna;Fila;Versace;bibyseob;The Design Closets;Gucci;The Ning Label;The J Label;Lace & Ebony;Vero Moda;Purpur;13MONTH;OEM;
6391,Maxi Dress,Material,Nylon;Polyester;Cotton;Spandex;Silk;Rayon;Linen;Lycra;Denim;Leather;Chiffon;
6391,Maxi Dress,Style,A-line Dress;Beach Dress;Jumper Dress;Pencil Dress;Shift Dress;Shirt Dress;Skater Dress;Smock Dress;Swing Dress;T-shirt Dress;Wrap Dress;
4770,Others,Brand,No Brand;Abercombie & Fitch;And Well Dressed;anticlockwise;bega;Bershka;Brandy Melville;bYSI;carrislabelle;Collate The Label;Cotton On;Daintyroses;Dorothy Perkins;Dressabelle;Ellysage;ESPRIT;factorie;Fairebelle;Fash Mob;Fayth;Forever 21;Forever New;French Connection;G.A.P;H&M;Her Velvet Vase;HOLLISTER;Hollyhoque;Intoxiquette;Iora;Karen Millen;Kikikeli;Lazygirl.co;LBR Label;Leline Style;Lexi Lyla;Lily Pirates;Love & Bravery;Love Bonito;Lovengold;Lovet;Lowrys farm;Mango;Marc Jacobs;Mayuki;MDSCOLLECTIONS;Megagamie;MFW;Ministry of Clothing;Miss Selfridge;Mod Parade;MONTIFS;MOONRIVER;Mugigae;Neonmello;New Look;NINE2FIVE;Ninth Collective;Ohvola;osmose;Pomelo Fashion;Pull&Bear;REFASH;River Island;Runway Bandits;Sabo Skirt;Salient Label;Saturday Club;Seoul in Love;Shop Sassy Dream;Something Borrowed;Sophialuv;StatementMuse;Stylenanda;Sunday Peach;Supergurl;Tempt;The Closet Lover;The Dancing Jewels;The Editor's Market;The Scarlet Room;The Stage Walk;The Sunday Avenue;The Tinsel Rack;The Velvet Dolls;The Willow Label;theory of seven;Thread Theory;Toki Choi;Tommy Hilfiger;Topazette;TOPSHOP;TresLoveChic;Uniqlo;Urban Outfitters;WAREHOUSE;Wild Peonies;Wonderstellar;younghungryfree;Zara;Nassa;OB Design;Tracyinny;MGP Label;Divided;All Would Envy;YOINS;TUNEVUSE;Double R;Polo;Batik Luhur;paknamae;rocosix;ppgirl;Mika & Gala;canmart;L'zzie;The Beverlyn Label;American Apparel;Meow Meow;Missguided;John Paul Ataker;Aidan Mattox;BCBG;George;OOTD.SG;Angel Maternity;adidas;so that's me;The Dress Room;AIR SPACE;Twenty3;Pure Hype;La Chapelle;Marks & Spencer;Miss38;Eternity Loft;SNAPSTYLE;Primark;Charmed on 9th Ave;Zavendar;NaNa De Luxe;Padini;Lolly Rouge;SuncolorA;Him & Jae;Kenzo;Chaliz Andrea;Chi Chi London;Berthe Zenia;UgoChic;Blumarine;Dafuni;Kaylie;Alescere;MPG Label;MDS;Penshoppe;Vain Vibes;G2000;Grana;LEIA RAY X;Taiwan Collection;Einashop;Get Laud;baon;BORN CHAMPS;Carlyna;Ferlicious;Le Creuset;Moschino;Modelle;OEM;Claudia & Chernice;
11962,Bodycons,Brand,No Brand;Abercombie & Fitch;And Well Dressed;anticlockwise;bega;Bershka;Brandy Melville;bYSI;carrislabelle;Collate The Label;Cotton On;Daintyroses;Dorothy Perkins;Dressabelle;Ellysage;ESPRIT;factorie;Fairebelle;Fash Mob;Fayth;Forever 21;Forever New;French Connection;G.A.P;H&M;Her Velvet Vase;HOLLISTER;Hollyhoque;Intoxiquette;Iora;Karen Millen;Kikikeli;Lazygirl.co;LBR Label;Leline Style;Lexi Lyla;Lily Pirates;Love & Bravery;Love Bonito;Lovengold;Lovet;Lowrys farm;Mango;Marc Jacobs;Mayuki;MDSCOLLECTIONS;Megagamie;MFW;Ministry of Clothing;Miss Selfridge;Mod Parade;MONTIFS;MOONRIVER;Mugigae;Neonmello;New Look;NINE2FIVE;Ninth Collective;Ohvola;osmose;Pomelo Fashion;Pull&Bear;REFASH;River Island;Runway Bandits;Sabo Skirt;Salient Label;Saturday Club;Seoul in Love;Shop Sassy Dream;Something Borrowed;Sophialuv;StatementMuse;Stylenanda;Sunday Peach;Supergurl;Tempt;The Closet Lover;The Dancing Jewels;The Editor's Market;The Scarlet Room;The Stage Walk;The Sunday Avenue;The Tinsel Rack;The Velvet Dolls;The Willow Label;theory of seven;Thread Theory;Toki Choi;Tommy Hilfiger;Topazette;TOPSHOP;TresLoveChic;Uniqlo;Urban Outfitters;WAREHOUSE;Wild Peonies;Wonderstellar;younghungryfree;Zara;Nassa;OB Design;Tracyinny;MGP Label;Divided;All Would Envy;YOINS;TUNEVUSE;Double R;Polo;Batik Luhur;paknamae;rocosix;ppgirl;Mika & Gala;canmart;L'zzie;The Beverlyn Label;American Apparel;Meow Meow;Missguided;John Paul Ataker;Aidan Mattox;BCBG;George;OOTD.SG;Angel Maternity;adidas;so that's me;The Dress Room;AIR SPACE;Twenty3;Pure Hype;La Chapelle;Marks & Spencer;Miss38;Eternity Loft;SNAPSTYLE;Primark;Charmed on 9th Ave;Zavendar;NaNa De Luxe;Padini;Lolly Rouge;SuncolorA;Him & Jae;Kenzo;Chaliz Andrea;Chi Chi London;Berthe Zenia;UgoChic;Blumarine;Dafuni;Kaylie;Alescere;MPG Label;MDS;Penshoppe;Vain Vibes;G2000;Grana;LEIA RAY X;Taiwan Collection;Einashop;Get Laud;baon;BORN CHAMPS;Carlyna;Ferlicious;Le Creuset;Moschino;Modelle;OEM;Claudia & Chernice;
11490,Short Dresses,Brand,No Brand;Abercombie & Fitch;And Well Dressed;anticlockwise;bega;Bershka;Brandy Melville;bYSI;carrislabelle;Collate The Label;Cotton On;Daintyroses;Dorothy Perkins;Dressabelle;Ellysage;ESPRIT;factorie;Fairebelle;Fash Mob;Fayth;Forever 21;Forever New;French Connection;G.A.P;H&M;Her Velvet Vase;HOLLISTER;Hollyhoque;Intoxiquette;Iora;Karen Millen;Kikikeli;Lazygirl.co;LBR Label;Leline Style;Lexi Lyla;Lily Pirates;Love & Bravery;Love Bonito;Lovengold;Lovet;Lowrys farm;Mango;Marc Jacobs;Mayuki;MDSCOLLECTIONS;Megagamie;MFW;Ministry of Clothing;Miss Selfridge;Mod Parade;MONTIFS;MOONRIVER;Mugigae;Neonmello;New Look;NINE2FIVE;Ninth Collective;Ohvola;osmose;Pomelo Fashion;Pull&Bear;REFASH;River Island;Runway Bandits;Sabo Skirt;Salient Label;Saturday Club;Seoul in Love;Shop Sassy Dream;Something Borrowed;Sophialuv;StatementMuse;Stylenanda;Sunday Peach;Supergurl;Tempt;The Closet Lover;The Dancing Jewels;The Editor's Market;The Scarlet Room;The Stage Walk;The Sunday Avenue;The Tinsel Rack;The Velvet Dolls;The Willow Label;theory of seven;Thread Theory;Toki Choi;Tommy Hilfiger;Topazette;TOPSHOP;TresLoveChic;Uniqlo;Urban Outfitters;WAREHOUSE;Wild Peonies;Wonderstellar;younghungryfree;Zara;Nassa;OB Design;Tracyinny;MGP Label;Divided;All Would Envy;YOINS;TUNEVUSE;Double R;Polo;Batik Luhur;paknamae;rocosix;ppgirl;Mika & Gala;canmart;L'zzie;The Beverlyn Label;American Apparel;Meow Meow;Missguided;John Paul Ataker;Aidan Mattox;BCBG;George;OOTD.SG;Angel Maternity;adidas;so that's me;The Dress Room;AIR SPACE;Twenty3;Pure Hype;La Chapelle;Marks & Spencer;Miss38;Eternity Loft;SNAPSTYLE;Primark;Charmed on 9th Ave;Zavendar;NaNa De Luxe;Padini;Lolly Rouge;SuncolorA;Him & Jae;Kenzo;Chaliz Andrea;Chi Chi London;Berthe Zenia;UgoChic;Blumarine;Dafuni;Kaylie;Alescere;MPG Label;MDS;Penshoppe;Vain Vibes;G2000;Grana;Voir;LEIA RAY X;FOAT;moimoii;Taiwan Collection;American Eagles Outfitters;Finders Keepers;TFNC;Anthea Crawford;Einashop;Maje;baon;BORN CHAMPS;DEAR STALKER;Carlyna;Fila;Versace;bibyseob;The Design Closets;Gucci;The Ning Label;The J Label;Lace & Ebony;Vero Moda;Purpur;13MONTH;OEM;
11490,Short Dresses,Material,Nylon;Polyester;Cotton;Spandex;Silk;Rayon;Linen;Lycra;Denim;Leather;Chiffon;
