Category ID,Name,Has child,Parent ID,Attributes,,,,,,,
1,Women's Apparel,TRUE,0,,,,,,,,
373,Dresses,TRUE,1,,,,,,,,
6389,Midi Dress,FALSE,373,Brand,Material,Style,,,,,
6391,Maxi Dress,FALSE,373,Brand,Material,Style,,,,,
4770,Others,FALSE,373,Brand,,,,,,,
11962,Bodycons,FALSE,373,Brand,,,,,,,
11490,Short Dresses,FALSE,373,Brand,Material,Style,,,,,
357,Tops,TRUE,1,,,,,,,,
6414,Crop Top,FALSE,357,Brand,Material,Style,,,,,
6415,T-shirt,FALSE,357,Brand,Material,Style,,,,,
6416,Blouse,FALSE,357,Brand,Material,Style,,,,,
6418,Plus size,FALSE,357,Brand,Material,Style,,,,,
6420,Tank Top,FALSE,357,Brand,Material,Style,,,,,
4769,Others,FALSE,357,Brand,,,,,,,
11479,Shirt,FALSE,357,Brand,Material,Style,,,,,
11480,Tunic,FALSE,357,Brand,,,,,,,
383,Playsuits & Jumpsuits,TRUE,1,,,,,,,,
4768,Others,FALSE,383,Brand,,,,,,,
11493,Rompers,FALSE,383,Brand,Material,Color,,,,,
11494,Jumpsuits,FALSE,383,Brand,Material,Color,,,,,
11495,Dungarees,FALSE,383,Brand,Material,Color,,,,,
375,Skirts,TRUE,1,,,,,,,,
6409,Maxi skirt,FALSE,375,Brand,Style,Material,Color,,,,
6410,Mini skirt,FALSE,375,Brand,Material,Color,,,,,
4767,Others,FALSE,375,Brand,,,,,,,
11491,Skater Skirts,FALSE,375,Brand,Material,Color,,,,,
11492,A-line Skirts,FALSE,375,Brand,Material,Color,,,,,
377,Shorts,TRUE,1,,,,,,,,
6406,Denim Shorts,FALSE,377,Brand,Material,,,,,,
6407,Skorts,FALSE,377,Brand,Material,,,,,,
4766,Others,FALSE,377,Brand,,,,,,,
11477,Tailored Shorts,FALSE,377,Brand,Material,,,,,,
11478,Casual Shorts,FALSE,377,Brand,Material,,,,,,
379,Pants & Leggings,TRUE,1,,,,,,,,
6402,Culottes,FALSE,379,Brand,Material,Pants Length,,,,,
6403,Women's Jeans,FALSE,379,Brand,Rise,Pants Length,,,,,
6404,Leggings,FALSE,379,Brand,Material,Pants Length,,,,,
4765,Others,FALSE,379,Brand,,,,,,,
11482,Wide-legged Pants,FALSE,379,Brand,Material,Pants Length,,,,,
11483,Straight Leg Pants,FALSE,379,Brand,Material,Pants Length,,,,,
11484,Skinny Pants,FALSE,379,Brand,Material,Pants Length,,,,,
11485,Cropped Pants,FALSE,379,Brand,Material,Pants Length,,,,,
11486,Jogger Pants,FALSE,379,Brand,Material,Pants Length,,,,,
381,Outerwear,TRUE,1,,,,,,,,
6400,Parka,FALSE,381,Brand,Material,,,,,,
6401,Jacket,FALSE,381,Brand,Material,Style,,,,,
6399,Cardigan,FALSE,381,Brand,Material,Style,,,,,
4764,Others,FALSE,381,Brand,,,,,,,
11474,Coats,FALSE,381,Brand,Material,Style,,,,,
11475,Blazers,FALSE,381,Brand,Material,Style,,,,,
11476,Hoodies & Sweaters,FALSE,381,Brand,Material,Style,,,,,
385,Lingerie,TRUE,1,,,,,,,,
6395,Sleepwear,FALSE,385,Brand,Type,Material,,,,,
6396,Bra,FALSE,385,Brand,Style,Material,,,,,
6397,Panty,FALSE,385,Brand,Style,Material,,,,,
4763,Others,FALSE,385,Brand,,,,,,,
11487,Bralette,FALSE,385,Brand,Material,Style,,,,,
11488,Lingerie Sets,FALSE,385,Brand,Material,Style,,,,,
11489,Shapewear,FALSE,385,Brand,Material,Shapewear Concern,,,,,
387,Beachwear,TRUE,1,,,,,,,,
6386,Bikini,FALSE,387,Brand,Style,Material,,,,,
6387,Swimsuit,FALSE,387,Brand,Style,Material,,,,,
